tradeid|currency|measure|amount|productid
46|JPY|DELTA|9755,47|590
65|CAD|DELTA|4133,60|311
44|CAD|CURVATURE|10492,29|130
81|KOR|DELTA|18730,56|103
14|CAD|CURVATURE|16449,32|590
95|JPY|DELTA|-950,61|760
57|CAD|DELTA|15898,00|991
73|ZAR|DELTA|-442,18|300
95|ZAR|DELTA|16889,24|289
32|CAD|CURVATURE|-8960,53|262
24|KOR|DELTA|15336,48|6
14|KOR|DELTA|16971,31|273
34|KOR|DELTA|18798,15|916
38|KOR|DELTA|-4883,43|753
64|GBP|DELTA|16619,01|222
2|KOR|DELTA|2975,63|689
68|ZAR|DELTA|13217,37|249
28|EUR|DELTA|16033,35|334
19|KOR|CURVATURE|-7798,31|119
50|USD|CURVATURE|-3175,07|621
9|EUR|DELTA|11728,07|51
19|JPY|CURVATURE|-6990,18|655
23|GBP|DELTA|-4528,02|663
96|CAD|DELTA|7282,73|60
88|ZAR|CURVATURE|18032,63|487
1|CAD|DELTA|-6955,44|845
87|CHF|DELTA|15108,32|524
96|ZAR|CURVATURE|15380,50|412
26|ZAR|DELTA|18810,11|729
79|EUR|CURVATURE|-1282,29|765
80|ZAR|CURVATURE|10801,20|233
44|JPY|DELTA|13324,38|147
14|ZAR|DELTA|-5819,86|428
77|GBP|DELTA|-6077,32|293
64|CAD|DELTA|137,60|355
4|KOR|DELTA|-7427,96|62
99|JPY|DELTA|3216,69|129
17|KOR|DELTA|5680,86|295
98|JPY|DELTA|7651,86|448
8|EUR|DELTA|3662,37|595
71|JPY|DELTA|-5251,71|955
95|ZAR|DELTA|2097,44|140
13|CHF|CURVATURE|-7065,18|693
57|ZAR|DELTA|2128,90|234
12|KOR|DELTA|18163,58|118
5|EUR|DELTA|-4391,54|911
67|CAD|DELTA|5269,21|612
68|JPY|DELTA|-1236,93|340
7|EUR|DELTA|3111,17|840
88|CHF|DELTA|6948,49|987
77|CHF|CURVATURE|17522,86|180
11|CAD|DELTA|18616,82|650
19|JPY|DELTA|839,90|374
90|CHF|DELTA|18735,15|220
92|JPY|CURVATURE|-8017,50|2
28|JPY|DELTA|-8555,72|289
59|EUR|CURVATURE|13470,87|585
20|GBP|CURVATURE|8220,85|828
66|USD|DELTA|5449,76|945
67|JPY|CURVATURE|-3219,34|372
69|GBP|CURVATURE|724,76|515
70|JPY|DELTA|16604,15|993
38|USD|DELTA|-9753,12|751
6|GBP|DELTA|9541,60|194
47|CAD|DELTA|6548,06|937
95|CHF|DELTA|17322,17|274
57|ZAR|DELTA|1793,48|708
50|CAD|DELTA|-3100,29|529
19|EUR|DELTA|-9311,01|632
12|CHF|CURVATURE|17962,56|216
86|GBP|DELTA|12116,91|424
67|ZAR|CURVATURE|-5744,68|799
36|KOR|CURVATURE|-7430,64|599
19|JPY|DELTA|-162,43|962
86|KOR|DELTA|12047,36|97
18|CAD|CURVATURE|17366,45|733
41|KOR|CURVATURE|6780,22|865
58|ZAR|DELTA|-4145,24|203
55|USD|DELTA|-7075,06|434
81|JPY|DELTA|-861,12|646
19|USD|DELTA|1199,91|904
59|CHF|DELTA|11098,08|559
92|USD|DELTA|1409,90|558
22|ZAR|DELTA|13199,83|676
58|GBP|DELTA|-9910,04|930
35|USD|DELTA|1499,89|391
56|USD|DELTA|8438,00|819
71|KOR|DELTA|-7810,32|139
40|CAD|DELTA|-4430,52|474
48|USD|DELTA|4138,69|18
97|EUR|CURVATURE|-4497,98|406
99|JPY|DELTA|16703,90|635
45|KOR|DELTA|1601,01|731
62|CAD|DELTA|-1960,63|571
14|KOR|DELTA|8266,37|42
17|KOR|DELTA|-8996,76|745
26|KOR|DELTA|-4959,23|131
15|JPY|DELTA|-3118,27|48
67|USD|CURVATURE|-964,58|865
60|ZAR|DELTA|13982,78|887
87|CHF|CURVATURE|18413,64|449
18|GBP|CURVATURE|-5259,77|620
66|CAD|DELTA|15797,56|779
34|JPY|CURVATURE|8451,70|433
18|KOR|DELTA|8868,14|581
43|JPY|DELTA|2881,75|947
69|GBP|DELTA|-3544,59|173
6|USD|DELTA|18522,85|262
95|KOR|DELTA|-2750,98|764
23|CAD|DELTA|9740,45|44
14|CAD|DELTA|12428,92|930
12|USD|DELTA|13847,52|709
16|GBP|DELTA|-9604,73|647
10|EUR|DELTA|7467,68|235
29|USD|DELTA|6081,73|86
86|KOR|DELTA|10553,21|324
87|GBP|CURVATURE|-1371,75|98
33|ZAR|DELTA|-3078,01|868
95|EUR|DELTA|-8627,61|266
15|GBP|DELTA|2053,31|884
80|GBP|DELTA|-1059,76|52
14|JPY|DELTA|8618,35|750
57|CHF|DELTA|16770,60|364
99|GBP|DELTA|18395,17|929
14|KOR|DELTA|-7374,48|13
65|EUR|DELTA|-2,31|686
98|USD|DELTA|13804,88|455
56|CHF|DELTA|498,87|409
40|EUR|DELTA|14016,41|41
29|CAD|DELTA|-592,91|161
77|GBP|DELTA|3621,74|76
57|EUR|DELTA|-4488,03|131
92|EUR|DELTA|-5406,11|186
93|USD|DELTA|-5602,32|905
42|KOR|CURVATURE|17637,61|409
10|ZAR|DELTA|1566,14|414
23|GBP|DELTA|-5962,46|360
35|USD|DELTA|16351,64|35
98|CAD|DELTA|16753,45|782
4|KOR|DELTA|-5530,66|680
43|CAD|DELTA|16761,83|576
84|CAD|DELTA|-4958,38|513
88|JPY|DELTA|6677,98|159
24|CAD|DELTA|-4696,77|799
93|CHF|DELTA|-844,38|340
9|KOR|DELTA|-4495,01|919
12|JPY|DELTA|14669,53|968
52|GBP|DELTA|6518,10|618
74|ZAR|DELTA|19099,44|695
64|KOR|DELTA|-4417,71|883
59|ZAR|DELTA|-4542,78|715
34|EUR|DELTA|14928,35|504
57|GBP|DELTA|-4620,20|137
72|JPY|CURVATURE|-4376,61|91
85|JPY|CURVATURE|-8758,83|265
59|ZAR|DELTA|13009,68|679
48|GBP|DELTA|-9647,75|119
34|KOR|CURVATURE|2206,85|455
77|ZAR|DELTA|-7502,50|627
5|GBP|DELTA|-4915,48|797
92|EUR|DELTA|14624,91|372
37|ZAR|DELTA|5247,20|912
6|GBP|DELTA|-7172,49|326
68|CAD|CURVATURE|-7644,65|509
17|EUR|DELTA|-2358,49|642
84|USD|CURVATURE|12581,43|306
60|JPY|DELTA|12291,73|186
52|CAD|DELTA|306,18|730
92|CAD|DELTA|2838,00|702
97|ZAR|DELTA|-1969,24|963
86|KOR|DELTA|19558,08|420
98|JPY|CURVATURE|-6259,68|934
30|KOR|DELTA|-9470,90|714
60|CHF|DELTA|8025,07|946
21|ZAR|DELTA|-6230,43|494
7|ZAR|DELTA|8658,44|90
39|USD|DELTA|15851,26|95
47|KOR|DELTA|8156,97|371
35|CHF|DELTA|-7699,24|83
42|EUR|DELTA|6303,48|756
34|ZAR|DELTA|-7054,38|48
82|CHF|DELTA|4499,11|866
64|ZAR|DELTA|-9476,87|842
28|USD|DELTA|3010,08|480
43|EUR|DELTA|-9890,11|815
36|KOR|DELTA|5172,79|29
58|JPY|CURVATURE|4338,53|398
97|CHF|DELTA|19993,78|835
20|JPY|DELTA|3880,07|554
44|CAD|DELTA|5497,64|646
86|JPY|DELTA|15565,67|115
97|GBP|DELTA|19901,06|393
18|KOR|DELTA|2923,22|402
83|CAD|DELTA|15081,31|613
34|ZAR|DELTA|4278,57|765
77|KOR|DELTA|-8185,78|423
95|KOR|DELTA|15229,59|994
6|CHF|CURVATURE|7425,26|675
10|CHF|CURVATURE|10896,92|167
20|EUR|DELTA|-6534,34|371
79|EUR|DELTA|-5612,37|156
12|GBP|DELTA|12026,58|582
97|CHF|DELTA|14217,05|197
35|GBP|DELTA|8664,29|5
88|CAD|DELTA|-7292,38|991
87|CHF|DELTA|5547,94|788
7|USD|DELTA|-351,73|396
29|CAD|DELTA|19372,04|648
75|GBP|CURVATURE|629,63|896
81|USD|DELTA|12406,96|577
6|USD|CURVATURE|14683,15|514
16|CAD|CURVATURE|15491,93|129
91|CHF|DELTA|3209,04|293
22|EUR|DELTA|16102,88|357
6|GBP|DELTA|6081,39|948
86|CAD|DELTA|-8760,76|852
99|GBP|DELTA|5517,61|24
24|ZAR|DELTA|753,07|917
82|EUR|DELTA|15385,63|4
31|ZAR|DELTA|14965,80|963
30|CAD|DELTA|19530,62|440
3|EUR|DELTA|17653,43|654
80|KOR|DELTA|-3786,31|285
88|USD|DELTA|-507,45|661
39|ZAR|DELTA|-4509,42|140
9|ZAR|DELTA|14206,11|87
58|EUR|DELTA|-1714,48|369
96|EUR|CURVATURE|2378,94|568
94|GBP|DELTA|-9154,79|232
61|CHF|DELTA|-7725,10|528
54|JPY|DELTA|9344,05|43
51|CAD|CURVATURE|10118,10|503
57|JPY|DELTA|-347,48|760
8|CAD|CURVATURE|-67,34|421
58|CAD|DELTA|-2981,77|70
97|ZAR|CURVATURE|16994,65|121
71|JPY|DELTA|-5171,76|619
50|KOR|CURVATURE|14657,28|687
84|CHF|CURVATURE|-1747,80|422
30|KOR|DELTA|18277,83|679
17|JPY|DELTA|-5219,44|876
14|CAD|CURVATURE|-2688,24|388
3|GBP|DELTA|14188,64|358
63|KOR|CURVATURE|8545,57|587
74|ZAR|DELTA|-5165,18|941
15|EUR|DELTA|14710,74|161
5|USD|CURVATURE|13345,31|538
73|JPY|DELTA|19245,44|518
95|GBP|DELTA|12395,59|395
45|KOR|DELTA|4230,36|166
14|EUR|DELTA|-4437,51|625
63|CHF|CURVATURE|5096,93|572
49|JPY|CURVATURE|-6974,06|640
78|CAD|CURVATURE|16759,85|720
33|KOR|CURVATURE|-6474,83|451
48|KOR|CURVATURE|16624,58|416
36|JPY|DELTA|12543,74|723
45|USD|DELTA|4322,81|427
64|JPY|DELTA|-2322,34|860
65|EUR|DELTA|-4015,16|335
8|EUR|DELTA|-2157,77|839
77|CHF|DELTA|15912,56|319
86|USD|DELTA|-5950,71|835
69|USD|DELTA|-4689,98|891
49|EUR|CURVATURE|-3563,04|14
49|GBP|DELTA|9490,74|507
92|ZAR|DELTA|2898,58|324
13|EUR|CURVATURE|1040,58|218
12|CHF|CURVATURE|11723,66|452
17|CHF|DELTA|9689,71|847
45|USD|DELTA|9159,57|489
20|GBP|DELTA|4152,83|10
60|EUR|DELTA|-2398,50|843
80|ZAR|DELTA|9538,78|391
68|EUR|DELTA|13437,41|759
6|CHF|DELTA|-5188,12|969
29|JPY|CURVATURE|12473,71|687
47|ZAR|DELTA|-9498,84|769
69|CAD|DELTA|-5248,20|139
50|ZAR|DELTA|-9209,54|783
49|EUR|DELTA|18682,31|348
99|EUR|CURVATURE|-1737,48|185
5|EUR|DELTA|13365,26|723
3|ZAR|CURVATURE|-8007,93|698
93|JPY|DELTA|-833,73|125
60|ZAR|DELTA|12054,40|411
60|JPY|DELTA|13859,53|260
87|KOR|DELTA|-1397,33|432
49|KOR|DELTA|18552,15|78
18|CAD|CURVATURE|12824,28|1
30|JPY|CURVATURE|-4862,97|877
75|EUR|DELTA|7768,02|448
89|EUR|DELTA|993,97|734
67|USD|DELTA|281,60|983
5|KOR|DELTA|15225,62|850
7|CAD|DELTA|-6745,71|585
87|EUR|DELTA|1873,64|90
53|GBP|DELTA|10752,86|432
72|CAD|DELTA|14653,16|306
83|USD|DELTA|4297,89|643
9|ZAR|CURVATURE|14956,10|486
15|CHF|DELTA|6870,97|626
64|JPY|DELTA|-7264,86|384
19|GBP|DELTA|3785,62|828
94|GBP|CURVATURE|762,77|63
81|JPY|DELTA|16403,12|49
22|CHF|DELTA|6381,85|205
41|USD|DELTA|2029,56|865
56|JPY|DELTA|-4215,20|465
32|EUR|CURVATURE|-9011,48|11
90|CAD|CURVATURE|-9017,20|382
8|ZAR|DELTA|10711,62|170
98|EUR|DELTA|15702,26|427
7|CHF|DELTA|16211,30|577
71|CAD|DELTA|-2434,84|526
8|CAD|DELTA|2070,66|739
21|USD|DELTA|-992,24|602
36|JPY|DELTA|-7723,99|335
65|CAD|DELTA|-251,52|331
1|GBP|CURVATURE|11090,61|311
1|KOR|DELTA|-9646,72|813
85|EUR|DELTA|19582,13|704
51|JPY|DELTA|18032,36|396
20|GBP|DELTA|3321,25|869
8|ZAR|DELTA|15545,98|447
21|EUR|DELTA|5711,10|726
21|ZAR|DELTA|-2345,69|875
54|CAD|DELTA|8023,55|837
91|USD|DELTA|-7586,08|303
32|JPY|DELTA|19743,46|668
8|CAD|DELTA|-355,93|402
41|CAD|CURVATURE|15579,91|114
32|JPY|DELTA|3745,06|607
21|GBP|DELTA|16415,58|382
70|ZAR|DELTA|-7223,28|530
12|JPY|DELTA|9544,77|678
41|USD|CURVATURE|172,76|281
21|CAD|DELTA|16404,67|68
99|EUR|DELTA|-3109,48|73
1|JPY|DELTA|7334,41|640
83|EUR|CURVATURE|2238,29|763
12|CAD|DELTA|-2,25|969
58|CAD|CURVATURE|5486,78|328
35|CHF|DELTA|9365,20|457
96|GBP|DELTA|-8093,80|894
62|GBP|DELTA|-445,63|579
92|KOR|DELTA|17667,44|137
53|CAD|CURVATURE|4447,61|536
47|EUR|DELTA|4540,20|384
1|CAD|DELTA|1514,68|125
19|KOR|CURVATURE|6292,53|144
34|JPY|DELTA|19428,82|594
51|ZAR|DELTA|-7232,21|385
95|JPY|DELTA|11233,82|471
91|GBP|DELTA|-9246,93|394
64|CAD|DELTA|-6550,19|936
21|USD|DELTA|3768,78|561
14|CHF|DELTA|-6359,52|52
88|KOR|DELTA|8956,43|633
45|ZAR|DELTA|-8256,48|285
73|JPY|DELTA|11318,03|822
56|KOR|DELTA|19621,50|139
50|CAD|DELTA|14009,51|274
24|GBP|DELTA|10648,32|928
57|USD|DELTA|-6604,94|585
81|USD|DELTA|2126,45|572
22|JPY|CURVATURE|16661,61|998
34|CHF|DELTA|14447,15|692
13|GBP|CURVATURE|15343,19|11
88|KOR|DELTA|7265,25|42
15|CAD|DELTA|14832,18|422
37|USD|DELTA|-4234,83|704
49|USD|DELTA|17418,19|180
81|USD|DELTA|4138,94|144
3|GBP|CURVATURE|6500,23|35
8|CHF|DELTA|4569,71|993
24|EUR|DELTA|14111,42|571
11|EUR|DELTA|-7202,51|752
25|GBP|DELTA|1870,45|892
21|CHF|CURVATURE|16314,08|707
99|CHF|DELTA|10864,77|510
88|CHF|DELTA|12561,08|653
49|CAD|DELTA|-4942,57|177
86|CAD|DELTA|17452,67|131
64|JPY|DELTA|-8285,23|491
73|USD|DELTA|12969,80|19
64|GBP|DELTA|-5456,78|772
49|JPY|DELTA|6427,37|760
76|USD|DELTA|19010,57|393
48|USD|DELTA|16844,14|51
56|CAD|DELTA|-4635,74|480
53|CAD|DELTA|-9713,64|375
69|EUR|DELTA|13645,36|643
49|GBP|DELTA|9342,56|33
25|CHF|CURVATURE|14372,69|334
89|GBP|DELTA|1343,99|422
31|JPY|DELTA|11223,37|323
57|USD|DELTA|-1505,57|107
24|ZAR|DELTA|12993,14|769
76|ZAR|DELTA|-5273,74|85
3|KOR|DELTA|-3745,64|52
48|EUR|DELTA|-8534,28|320
50|JPY|CURVATURE|19659,73|40
33|EUR|CURVATURE|-3730,61|34
22|USD|CURVATURE|12825,07|234
40|EUR|CURVATURE|6781,91|854
61|ZAR|DELTA|-3430,84|392
4|CAD|DELTA|11049,30|246
37|EUR|DELTA|16241,95|926
56|EUR|DELTA|15886,59|930
53|CHF|DELTA|2524,52|967
22|KOR|CURVATURE|5818,40|230
86|ZAR|DELTA|-4128,24|121
30|CAD|DELTA|17756,20|513
70|CAD|DELTA|-4529,31|291
29|CAD|DELTA|13810,93|683
15|EUR|DELTA|4827,00|729
29|CHF|CURVATURE|7820,60|862
24|CHF|DELTA|-5164,43|523
13|USD|DELTA|7751,83|874
47|CHF|DELTA|-2750,03|929
14|CAD|DELTA|-2844,00|942
49|GBP|DELTA|4992,87|353
17|EUR|DELTA|-3535,94|40
99|KOR|DELTA|18744,64|794
98|ZAR|DELTA|-179,06|874
89|CHF|DELTA|7050,83|484
37|USD|CURVATURE|2217,89|672
47|CHF|DELTA|9987,74|352
94|ZAR|DELTA|-4702,01|940
61|EUR|DELTA|6747,13|247
25|ZAR|CURVATURE|19900,68|887
97|KOR|DELTA|7720,33|272
63|CAD|DELTA|19283,05|142
68|EUR|DELTA|-8505,76|728
43|CAD|DELTA|5209,27|939
38|EUR|DELTA|11178,79|425
67|ZAR|DELTA|19530,88|911
70|ZAR|DELTA|-429,47|190
38|CHF|DELTA|17377,13|595
36|JPY|DELTA|15568,77|419
83|USD|DELTA|4119,89|408
54|USD|DELTA|19091,03|233
35|GBP|DELTA|12446,88|276
90|CHF|DELTA|17418,31|77
33|KOR|CURVATURE|7340,88|734
28|KOR|DELTA|3718,06|372
47|EUR|DELTA|-4215,95|802
11|KOR|DELTA|19566,16|498
94|USD|DELTA|13443,93|563
3|USD|DELTA|-3914,53|153
39|CHF|DELTA|7401,17|126
77|KOR|DELTA|6148,75|11
79|KOR|DELTA|-9305,80|854
69|JPY|DELTA|-1388,47|976
98|CHF|DELTA|-9278,22|626
42|KOR|DELTA|244,19|812
4|CAD|DELTA|17591,80|837
17|EUR|CURVATURE|-5235,81|90
66|CHF|DELTA|4661,92|463
58|JPY|CURVATURE|-1185,87|581
14|KOR|CURVATURE|9702,79|924
61|GBP|CURVATURE|1918,36|19
10|KOR|CURVATURE|10342,34|944
13|CHF|CURVATURE|1254,22|639
48|USD|DELTA|-672,54|20
56|JPY|CURVATURE|-291,13|860
50|JPY|DELTA|7367,55|90
69|GBP|DELTA|9221,24|543
23|KOR|DELTA|1199,02|521
84|CHF|DELTA|-4766,20|446
35|GBP|DELTA|418,69|396
56|GBP|DELTA|6450,11|90
20|EUR|DELTA|-4440,01|381
97|CAD|DELTA|8601,35|360
75|CHF|DELTA|4904,72|290
93|GBP|DELTA|18006,15|833
89|GBP|DELTA|15305,49|764
75|ZAR|DELTA|9139,99|216
15|GBP|DELTA|-9397,47|934
40|GBP|DELTA|8838,09|151
80|JPY|DELTA|16411,81|237
54|CHF|CURVATURE|-5895,09|344
32|EUR|DELTA|-5410,66|820
62|USD|CURVATURE|-8395,40|766
3|CHF|DELTA|10585,63|862
32|USD|DELTA|-2084,76|308
54|CAD|DELTA|19331,20|71
44|ZAR|DELTA|-6457,84|452
35|USD|DELTA|-4026,75|317
3|ZAR|CURVATURE|-9154,99|218
58|KOR|DELTA|18539,79|487
11|EUR|DELTA|1624,47|294
36|CHF|CURVATURE|15861,30|904
73|GBP|DELTA|11667,08|873
96|CHF|DELTA|12344,92|147
55|GBP|DELTA|14433,39|495
34|CAD|DELTA|-3420,46|362
79|CAD|DELTA|9012,94|163
55|GBP|DELTA|4453,36|782
12|ZAR|DELTA|-1980,94|228
71|GBP|DELTA|14283,10|448
15|USD|DELTA|11162,38|981
11|JPY|DELTA|7275,20|275
90|JPY|DELTA|11571,62|399
6|GBP|DELTA|-4053,97|644
62|ZAR|CURVATURE|-6384,17|180
89|ZAR|DELTA|16496,83|329
24|CHF|DELTA|-3040,66|563
7|EUR|DELTA|-7260,50|687
66|USD|DELTA|-1871,87|666
90|USD|DELTA|14265,34|787
49|CHF|DELTA|14108,01|400
64|KOR|DELTA|3997,65|309
35|CHF|DELTA|-4103,50|879
15|CAD|DELTA|22,10|124
52|USD|DELTA|11803,82|297
68|GBP|DELTA|7190,57|273
12|JPY|DELTA|1296,19|238
39|CAD|CURVATURE|10083,88|328
53|ZAR|DELTA|796,79|653
33|KOR|DELTA|3728,44|741
96|USD|DELTA|10946,49|114
76|KOR|CURVATURE|1317,82|807
7|ZAR|CURVATURE|-6935,63|393
21|ZAR|DELTA|2012,41|73
90|EUR|DELTA|5965,48|60
92|CAD|CURVATURE|692,21|923
11|CHF|DELTA|17764,70|85
70|USD|DELTA|-2072,68|360
82|ZAR|DELTA|-6964,18|765
84|GBP|DELTA|-8891,94|458
2|CAD|DELTA|-9233,61|777
35|JPY|CURVATURE|-1061,91|427
95|EUR|DELTA|12355,11|248
92|EUR|DELTA|4726,94|681
27|ZAR|CURVATURE|-9313,37|320
4|CAD|DELTA|1105,74|530
84|GBP|DELTA|-2317,22|285
69|ZAR|CURVATURE|18008,71|638
24|JPY|DELTA|10101,95|525
64|JPY|CURVATURE|18681,12|697
84|CHF|DELTA|-4478,16|6
38|CHF|DELTA|-2141,82|945
42|CAD|DELTA|-3984,27|967
97|JPY|DELTA|3463,39|516
1|USD|DELTA|16987,41|809
55|ZAR|DELTA|15652,88|700
78|EUR|DELTA|-1225,93|614
53|GBP|DELTA|5827,31|163
29|GBP|CURVATURE|-2884,76|544
38|GBP|DELTA|15484,66|44
67|GBP|DELTA|-6583,43|758
15|GBP|DELTA|1227,72|645
61|USD|DELTA|12251,82|934
4|KOR|DELTA|4695,89|564
81|CHF|DELTA|-8069,16|899
38|CHF|DELTA|5081,03|559
72|USD|DELTA|16744,17|798
76|ZAR|DELTA|18726,47|979
55|ZAR|CURVATURE|9049,76|335
46|JPY|DELTA|15203,42|111
93|CHF|DELTA|-4589,01|493
31|ZAR|DELTA|-1588,90|479
54|CHF|CURVATURE|-1912,38|209
64|GBP|DELTA|4451,75|823
82|ZAR|DELTA|8227,76|395
57|CAD|DELTA|6176,60|692
23|CHF|DELTA|-3143,59|681
27|KOR|DELTA|-3132,41|103
23|USD|DELTA|18297,49|893
98|GBP|DELTA|8087,29|491
51|KOR|CURVATURE|-3064,11|689
99|CAD|DELTA|8466,89|826
87|EUR|DELTA|-6495,39|586
67|KOR|DELTA|-8628,06|733
4|CHF|DELTA|-7509,07|492
45|EUR|DELTA|8846,60|165
36|CHF|DELTA|-3736,58|870
11|CHF|DELTA|11938,64|612
10|GBP|DELTA|7437,12|818
10|GBP|DELTA|11996,76|164
